president,subgroup,modeldate,approve_estimate,approve_hi,approve_lo,disapprove_estimate,disapprove_hi,disapprove_lo,timestamp
Donald Trump,Voters,5/21/2018,43.82499,47.70023,39.94974,51.68853,55.20375,48.17332,5/21/2018 13:19
Donald Trump,Adults,5/21/2018,41.40115,45.76887,37.03342,53.08822,57.51002,48.66643,5/21/2018 13:19
Donald Trump,All polls,5/21/2018,41.953,46.80627,37.09973,52.69495,56.93044,48.45947,5/21/2018 13:19
Donald Trump,Voters,5/20/2018,43.97738,47.95423,40.00054,51.6349,55.18774,48.08205,5/21/2018 10:21
Donald Trump,All polls,5/20/2018,42.38191,47.02366,37.74016,52.34803,56.14386,48.55221,5/21/2018 10:19
Donald Trump,Adults,5/20/2018,41.89252,45.9326,37.85244,52.66195,56.54877,48.77513,5/21/2018 10:20
Donald Trump,Adults,5/19/2018,41.89252,45.9326,37.85244,52.66195,56.54877,48.77513,5/21/2018 10:21
Donald Trump,All polls,5/19/2018,42.38191,47.02366,37.74016,52.34803,56.14386,48.55221,5/21/2018 10:20
Donald Trump,Voters,5/19/2018,43.97738,47.95423,40.00054,51.6349,55.18774,48.08205,5/21/2018 10:21
Donald Trump,Adults,5/18/2018,41.89252,45.9326,37.85244,52.66195,56.54877,48.77513,5/18/2018 22:40
Donald Trump,Voters,5/18/2018,43.97738,47.95423,40.00054,51.6349,55.18774,48.08205,5/18/2018 22:40
Donald Trump,All polls,5/18/2018,42.38191,47.02366,37.74016,52.34803,56.14386,48.55221,5/18/2018 22:39
Donald Trump,Voters,5/17/2018,44.0947,48.03394,40.15546,51.43144,54.81656,48.04632,5/17/2018 19:42
Donald Trump,Adults,5/17/2018,41.84563,45.92268,37.76858,52.42226,56.35785,48.48668,5/17/2018 19:42
Donald Trump,All polls,5/17/2018,42.26259,46.84184,37.68333,52.27131,56.0258,48.51682,5/17/2018 19:42
Donald Trump,Voters,5/16/2018,44.02909,47.94313,40.11504,51.47376,54.87785,48.06966,5/16/2018 14:31
Donald Trump,Adults,5/16/2018,41.79456,45.81722,37.7719,52.57684,56.58858,48.56509,5/16/2018 14:30
Donald Trump,All polls,5/16/2018,42.14801,46.6746,37.62143,52.41426,56.22262,48.6059,5/16/2018 14:30
Donald Trump,Voters,5/15/2018,44.40396,48.37751,40.43041,51.21085,54.7344,47.68729,5/15/2018 21:29
Donald Trump,Adults,5/15/2018,41.96143,45.9219,38.00096,52.51834,56.50314,48.53353,5/15/2018 21:29
Donald Trump,All polls,5/15/2018,42.32984,46.77917,37.88051,52.35731,56.17436,48.54026,5/15/2018 21:29
Donald Trump,All polls,5/14/2018,42.09991,46.59303,37.60678,52.39321,56.30078,48.48564,5/14/2018 17:02
Donald Trump,Adults,5/14/2018,41.64623,45.55759,37.73487,52.55623,56.65903,48.45343,5/14/2018 17:02
Donald Trump,Voters,5/14/2018,43.98285,47.99894,39.96676,51.49353,55.10661,47.88045,5/14/2018 17:02
Donald Trump,Voters,5/13/2018,44.05393,48.22047,39.88739,51.25135,54.97166,47.53104,5/14/2018 10:44
Donald Trump,Adults,5/13/2018,41.87981,45.77145,37.98818,52.13836,56.799,47.47772,5/14/2018 10:44
Donald Trump,All polls,5/13/2018,42.12308,46.61304,37.63313,52.04174,56.49206,47.59143,5/14/2018 10:43
Donald Trump,Voters,5/12/2018,44.05393,48.22047,39.88739,51.25135,54.97166,47.53104,5/12/2018 0:07
Donald Trump,Adults,5/12/2018,41.87981,45.77145,37.98818,52.13836,56.799,47.47772,5/12/2018 0:07
Donald Trump,All polls,5/12/2018,42.12308,46.61304,37.63313,52.04174,56.49206,47.59143,5/12/2018 0:07
Donald Trump,Voters,5/11/2018,43.86341,48.11758,39.60924,51.41866,55.23137,47.60595,5/11/2018 10:43
Donald Trump,Adults,5/11/2018,41.77017,45.70439,37.83595,51.98849,56.70039,47.2766,5/11/2018 10:43
Donald Trump,All polls,5/11/2018,42.02566,46.59457,37.45675,51.97548,56.48686,47.4641,5/11/2018 10:43
