"","date","allMean","sd"
"5","2017-01-16",-0.0525082,0.427694701384948
"2","2017-01-17",-0.0412994,0.439973104904879
"1","2017-01-18",-0.0253921,0.442946633272666
"7","2017-01-19",0.0112378,0.424445226255591
"6","2017-01-20",-0.0155254,0.435393909643716
"4","2017-01-21",-0.0834994,0.405352013217697
"3","2017-01-22",-0.0593702,0.408184539408293
"8","2017-01-22",0.0123577,0.423412767876348
"11","2017-01-23",-0.0257373,0.413103763283161
"10","2017-01-24",-0.0178492,0.43447287475671
"14","2017-01-25",-0.082102,0.427436335207946
"9","2017-01-26",-0.0792101,0.416643514083671
"12","2017-01-27",-0.1154042,0.428396209696538
"13","2017-01-28",-0.1457641,0.441959763871317
"21","2017-01-29",-0.1168095,0.440649584340834
"16","2017-01-30",-0.0958336,0.458902002775146
"19","2017-01-31",-0.1005698,0.434904557860641
"18","2017-02-01",-0.0857754,0.447350353274522
"15","2017-02-02",-0.0335128,0.447675633998725
"20","2017-02-03",-0.0706417,0.426676234059398
"17","2017-02-04",-0.1148981,0.460498695401398
"26","2017-02-05",-0.0076754,0.493310167495907
"25","2017-02-06",-0.1316048,0.455705926093747
"23","2017-02-07",-0.1402445,0.469003656584626
"24","2017-02-08",-0.0415329,0.412759400071749
"28","2017-02-09",-0.1290319,0.438683202610255
"22","2017-02-10",-0.0894585,0.436845155069562
"27","2017-02-11",-0.0550696,0.40916307606606
"29","2017-02-12",-0.0712003,0.468388832499143
"30","2017-02-13",-0.0160137,0.421808179084178
"34","2017-02-14",-0.0222104,0.430073944888365
"31","2017-02-15",-0.0336541,0.436124532310658
"32","2017-02-16",0.0222565,0.41131240703114
"35","2017-02-17",-0.0438248,0.449223326314385
"33","2017-02-18",0.0577552,0.445629390450136
"38","2017-02-19",-0.0803142,0.43344999681435
"40","2017-02-20",-0.0631722,0.438654587354515
"41","2017-02-21",-0.0770002,0.426612416532806
"36","2017-02-22",-0.0485489,0.418079275997735
"37","2017-02-23",-0.1225299,0.434591243993698
"42","2017-02-24",-0.0485253,0.441650977933832
"39","2017-02-25",-0.029466,0.44395452204477
"44","2017-02-26",-0.0529507,0.444410122408919
"46","2017-02-27",-0.0264957,0.41750799907488
"48","2017-02-28",-0.0807749,0.442374826702413
"47","2017-03-01",-0.0076019,0.468482800139333
"43","2017-03-02",-0.0490317,0.390665624652477
"49","2017-03-03",-0.0956469,0.412359326207605
"45","2017-03-04",-0.0760047,0.406079262765177
"55","2017-03-05",-0.0510188,0.410264591192757
"52","2017-03-06",-0.0667726,0.4296815204186
"56","2017-03-07",-0.058797,0.415186523975671
"51","2017-03-08",0.000405599999999997,0.412463190028686
"54","2017-03-09",-0.0715187,0.420428355490338
"50","2017-03-10",-0.0163343,0.429336935533748
"53","2017-03-11",-0.0548935,0.431901212023942
"57","2017-03-12",-0.0363968,0.423308852245922
"62","2017-03-13",-0.0249713,0.445902750166794
"58","2017-03-14",0.0289432,0.31228265179763
"59","2017-03-15",-0.1650594,0.460964532249109
"63","2017-03-16",-0.1025313,0.419323030049996
"60","2017-03-17",-0.057548,0.413392822284084
"61","2017-03-18",-0.0273293,0.391446512171855
"66","2017-03-19",-0.0376976,0.435535164015766
"65","2017-03-20",-0.0863116,0.424793656526837
"67","2017-03-21",-0.0560724,0.447769526585095
"64","2017-03-22",-0.0524402,0.388385901191019
"70","2017-03-23",-0.0338078,0.426294869754681
"68","2017-03-24",-0.048293,0.46172599791543
"69","2017-03-25",0.0123852,0.478746181082377
"75","2017-03-26",-0.0845877,0.437623212020009
"74","2017-03-27",-0.0773313,0.41244538653052
"72","2017-03-28",-0.0535431,0.443471638250283
"73","2017-03-29",-0.0295843,0.431031760991589
"76","2017-03-30",0.0354601,0.394548961572566
"71","2017-03-31",-0.053109,0.427715384103729
"77","2017-04-01",-0.0322225,0.424849461202142
"79","2017-04-02",-0.0358694,0.413995098864274
"82","2017-04-03",0.00933900000000001,0.415835189827653
"78","2017-04-04",-0.0899869,0.410860858318714
"83","2017-04-05",-0.0848627,0.446859691915382
"84","2017-04-06",-0.0723579,0.456831701830762
"81","2017-04-07",-0.092901,0.442597729161594
"80","2017-04-08",-0.0600201,0.412102877235758
"89","2017-04-09",-0.0612073,0.435198230185636
"86","2017-04-10",-0.0731474,0.429060180036834
"91","2017-04-11",-0.030501,0.420615687961113
"85","2017-04-12",-0.0814001,0.40759046111261
"88","2017-04-13",-0.1446243,0.473830075617314
"90","2017-04-14",-0.0663058,0.417558163836321
"87","2017-04-15",-0.0688123,0.444289690133262
"97","2017-04-16",-0.000629399999999997,0.418719640398728
"95","2017-04-17",0.0241483,0.422730098191636
"93","2017-04-18",-0.0141807,0.4018688703514
"96","2017-04-19",-0.0464055,0.429548904153823
"94","2017-04-20",-0.0363302,0.428546482692321
"98","2017-04-21",-0.0808116,0.41809863669407
"92","2017-04-22",-0.0267754,0.409881752380903
"103","2017-04-23",-0.0290673,0.431664391884146
"99","2017-04-24",-0.0350945,0.405646074182593
"101","2017-04-25",-0.0795108,0.410610881033808
"105","2017-04-26",0.0111249,0.418536734218145
"102","2017-04-27",-0.0663497,0.406133532277144
"104","2017-04-28",-0.0297998,0.436874421704865
"100","2017-04-29",0.02978,0.436179571529892
"109","2017-04-30",-0.0618524,0.454213190511064
"110","2017-05-01",-0.0857849,0.434686259757529
"108","2017-05-02",-0.0066305,0.433350035975249
"106","2017-05-03",-0.0174643,0.446452451528167
"107","2017-05-04",-0.0528359,0.441640819423647
"112","2017-05-05",0.0018903,0.453283221039462
"111","2017-05-06",-0.0266964,0.413646593684802
"114","2017-05-07",-0.0221268,0.425158167158718
"113","2017-05-08",-0.1545987,0.416751005119736
"118","2017-05-09",-0.1944402,0.424065258921266
"119","2017-05-10",-0.1086883,0.419209924110952
"116","2017-05-11",-0.0841855,0.386518781664941
"115","2017-05-12",-0.0429499,0.388715659164884
"117","2017-05-13",-0.0309784,0.426486423175979
"125","2017-05-15",-0.0738146,0.391821599821705
"121","2017-05-16",-0.0246809,0.410331202037074
"120","2017-05-17",0.000275799999999995,0.421079194848618
"124","2017-05-18",-0.0553536,0.403478303192427
"126","2017-05-19",-0.0237452,0.41372938152488
"122","2017-05-20",-0.0657268,0.457454190167453
"123","2017-05-21",0.0172986,0.455768738372916
"128","2017-05-22",-0.0309217,0.450751070768678
"129","2017-05-23",-0.0903391,0.448629759781036
"131","2017-05-24",-0.0805832,0.444120090963874
"133","2017-05-25",-0.0846223,0.42668791261613
"130","2017-05-26",-0.0237277,0.405837886110587
"127","2017-05-27",-0.1026538,0.453212188125562
"132","2017-05-28",-0.0196279,0.486009736519331
"134","2017-05-29",-0.0342975,0.453630085558432
"140","2017-05-30",-0.1424136,0.443713167141837
"135","2017-05-31",-0.0968736,0.474015491669882
"138","2017-06-01",-0.0041425,0.444830599109088
"139","2017-06-02",-0.0326512,0.452418432469943
"137","2017-06-03",-0.1745813,0.473401502342684
"136","2017-06-04",-0.1263817,0.472316665718149
"144","2017-06-05",-0.1215727,0.441811650553389
"147","2017-06-06",-0.1531602,0.433399034535104
"143","2017-06-07",-0.0509667,0.425549244084759
